dataset,state,year,number_of_rows,column,noise_type,proportion
decennial_census,PA,2030,14055890,age,copy_from_household_member,0.6802157671979505
decennial_census,PA,2040,14256308,age,copy_from_household_member,0.6143924499947673
decennial_census,RI,2020,1088772,age,copy_from_household_member,0.8065334156278817
decennial_census,RI,2030,1116761,age,copy_from_household_member,0.6750808812270486
decennial_census,RI,2040,1122062,age,copy_from_household_member,0.6079583837613252
decennial_census,SC,2020,5053194,age,copy_from_household_member,0.8101525490610493
decennial_census,SC,2030,4925211,age,copy_from_household_member,0.6664114491744617
decennial_census,SC,2040,4904793,age,copy_from_household_member,0.5970853408084704
decennial_census,SD,2020,883164,age,copy_from_household_member,0.8336990638205362
decennial_census,SD,2030,851023,age,copy_from_household_member,0.722028664325171
decennial_census,SD,2040,842125,age,copy_from_household_member,0.6676039780317649
decennial_census,TN,2020,6990022,age,copy_from_household_member,0.8221270262096457
decennial_census,TN,2030,7209495,age,copy_from_household_member,0.6906953954472539
decennial_census,TN,2040,7319933,age,copy_from_household_member,0.6284419543184343
decennial_census,TX,2020,29231200,age,copy_from_household_member,0.841959242179589
decennial_census,TX,2030,30721242,age,copy_from_household_member,0.7017075351315549
decennial_census,TX,2040,31548667,age,copy_from_household_member,0.6346941377903542
decennial_census,UT,2020,3224090,age,copy_from_household_member,0.8697837219184328
decennial_census,UT,2030,3150751,age,copy_from_household_member,0.7121010197251385
decennial_census,UT,2040,3202125,age,copy_from_household_member,0.6397354881523988
decennial_census,VA,2020,8636071,age,copy_from_household_member,0.8256114383496848
decennial_census,VA,2030,8704652,age,copy_from_household_member,0.6868454936509811
decennial_census,VA,2040,8769524,age,copy_from_household_member,0.6201804111602864
decennial_census,VT,2020,639373,age,copy_from_household_member,0.8132936486213838
decennial_census,VT,2030,626788,age,copy_from_household_member,0.6980924969846264
decennial_census,VT,2040,612718,age,copy_from_household_member,0.6386641162818785
decennial_census,WA,2020,7955923,age,copy_from_household_member,0.8357455194073649
decennial_census,WA,2030,8187308,age,copy_from_household_member,0.7024874354305469
decennial_census,WA,2040,8308873,age,copy_from_household_member,0.6382079735723485
decennial_census,WI,2020,6065946,age,copy_from_household_member,0.8198374993776734
decennial_census,WI,2030,6031867,age,copy_from_household_member,0.6965972558745078
decennial_census,WI,2040,6019113,age,copy_from_household_member,0.635448113368199
decennial_census,WV,2020,1853128,age,copy_from_household_member,0.8199255529029835
decennial_census,WV,2030,1908405,age,copy_from_household_member,0.7044584351854035
decennial_census,WV,2040,1904507,age,copy_from_household_member,0.6479409106923734
decennial_census,WY,2020,626518,age,copy_from_household_member,0.8053655282050954
decennial_census,WY,2030,704898,age,copy_from_household_member,0.6742138578914963
decennial_census,WY,2040,737465,age,copy_from_household_member,0.6127884035174551
decennial_census,AK,3000,2149553,age,copy_from_household_member,0.7369727566615013
decennial_census,AL,3000,15118581,age,copy_from_household_member,0.705076819048031
decennial_census,AR,3000,9275903,age,copy_from_household_member,0.7020023818705305
decennial_census,AZ,3000,23661324,age,copy_from_household_member,0.7073271554880023
decennial_census,CA,3000,119946616,age,copy_from_household_member,0.7386698679352488
decennial_census,CO,3000,18111932,age,copy_from_household_member,0.7191704341646159
decennial_census,CT,3000,11507553,age,copy_from_household_member,0.7164505781550604
decennial_census,DC,3000,2039546,age,copy_from_household_member,0.6966413113506633
decennial_census,DE,3000,2967284,age,copy_from_household_member,0.6836460547760174
decennial_census,FL,3000,66590588,age,copy_from_household_member,0.7066241253193319
decennial_census,GA,3000,32143889,age,copy_from_household_member,0.7128854259047497
